word,ipa,index,clusterID
the,"ˈð ə ,",0,896
of,ˈə v,1,896
and,"ˈæ n d ,",2,896
in,"ˈɪ n ,",3,896
a,"ˈe ɪ ,",4,896
for,"ˈf ɔ ɹ ,",5,896
that,"ˈð æ t ,",6,896
on,"ˈɑ n ,",7,896
is,"ˈɪ z ,",8,896
with,"ˈw ɪ ð ,",9,896
he,ˈh i,10,896
as,"ˈæ z ,",11,896
it,"ˈɪ t ,",12,896
from,ˈf ɹ ə m,13,896
his,"ˈh ɪ z ,",14,896
an,"ˈæ n ,",15,896
but,ˈb ə t,16,896
this,"ˈð ɪ s ,",17,896
which,"ˈh w ɪ t ʃ ,",18,896
their,ˈð ɛ ɹ,19,896
or,"ˈɔ ɹ ,",20,896
its,"ˈɪ t s ,",21,896
one,ˈw ə n,22,896
new,"ˈn j u ,",23,896
also,ˈɔ ɫ s o ʊ,24,896
first,ˈf ɝ s t,25,896
about,ə ˈb a ʊ t,26,896
up,ˈə p,27,896
there,ˈð ɛ ɹ,28,896
all,ˈɔ ɫ,29,896
out,ˈa ʊ t,30,896
over,ˈo ʊ v ɝ,31,896
into,"ˈɪ n t u ,",32,896
time,ˈt a ɪ m,33,896
no,ˈn o ʊ,34,896
world,ˈw ɝ ɫ d,35,896
only,ˈo ʊ n ɫ i,36,896
against,"ə ˈɡ e ɪ n s t ,",37,896
so,ˈs o ʊ,38,896
him,"ˈh ɪ m ,",39,896
while,"ˈh w a ɪ ɫ ,",40,896
now,ˈn a ʊ,41,896
made,ˈm e ɪ d,42,896
between,"b i t ˈw i n ,",43,896
country,ˈk ə n t ɹ i,44,896
under,ˈə n d ɝ,45,896
second,ˈs ɛ k ə n d,46,896
through,ˈθ ɹ u,47,896
down,ˈd a ʊ n,48,896
back,ˈb æ k,49,896
off,ˈɔ f,50,896
well,ˈw ɛ ɫ,51,896
still,ˈs t ɪ ɫ,52,896
both,ˈb o ʊ θ,53,896
even,ˈi v ɪ n,54,896
end,ˈɛ n d,55,896
home,ˈh o ʊ m,56,896
another,ə ˈn ə ð ɝ,57,896
long,ˈɫ ɔ ŋ,58,896
way,ˈw e ɪ,59,896
much,ˈm ə t ʃ,60,896
here,ˈh i ɹ,61,896
public,ˈp ə b ɫ ɪ k,62,896
around,"ɝ ˈa ʊ n ,",63,896
set,ˈs ɛ t,64,896
however,ˌh a ʊ ˈɛ v ɝ,65,896
life,ˈɫ a ɪ f,66,896
same,ˈs e ɪ m,67,896
top,"ˈt ɑ p ,",68,896
major,ˈm e ɪ d ʒ ɝ,69,896
each,ˈi t ʃ,70,896
place,ˈp ɫ e ɪ s,71,896
times,ˈt a ɪ m z,72,896
right,ˈɹ a ɪ t,73,896
local,ˈɫ o ʊ k ə ɫ,74,896
held,ˈh ɛ ɫ d,75,896
own,ˈo ʊ n,76,896
added,"ˈæ d ə d ,",77,896
without,"w ɪ ˈð a ʊ t ,",78,896
man,ˈm æ n,79,896
men,ˈm ɛ n,80,896
open,ˈo ʊ p ə n,81,896
line,ˈɫ a ɪ n,82,896
put,ˈp ʊ t,83,896
half,ˈh æ f,84,896
small,ˈs m ɔ ɫ,85,896
every,"ˈɛ v ɝ i ,",86,896
japan,d ʒ ə ˈp æ n,87,896
program,ˈp ɹ o ʊ ˌɡ ɹ æ m,88,896
far,ˈf ɑ ɹ,89,896
today,"t ə ˈd e ɪ ,",90,896
close,"ˈk ɫ o ʊ s ,",91,896
free,ˈf ɹ i,92,896
away,ə ˈw e ɪ,93,896
control,k ə n ˈt ɹ o ʊ ɫ,94,896
within,"w ɪ ˈð ɪ n ,",95,896
making,ˈm e ɪ k ɪ ŋ,96,896
side,ˈs a ɪ d,97,896
once,ˈw ə n s,98,896
main,ˈm e ɪ n,99,896
given,"ˈɡ ɪ v ə n ,",100,896
taken,ˈt e ɪ k ə n,101,896
despite,d ɪ ˈs p a ɪ t,102,896
whose,ˈh u z,103,896
nation,ˈn e ɪ ʃ ə n,104,896
europe,ˈj ʊ ɹ ə p,105,896
seen,ˈs i n,106,896
full,ˈf ʊ ɫ,107,896
behind,b ɪ ˈh a ɪ n d,108,896
real,ˈɹ i ɫ,109,896
future,ˈf j u t ʃ ɝ,110,896
taking,ˈt e ɪ k ɪ ŋ,111,896
almost,ˈɔ ɫ ˌm o ʊ s t,112,896
leading,ˈɫ i d ɪ ŋ,113,896
together,t ə ˈɡ ɛ ð ɝ,114,896
action,ˈæ k ʃ ə n,115,896
field,ˈf i ɫ d,116,896
japanese,ˌd ʒ æ p ə ˈn i z,117,896
short,ˈʃ ɔ ɹ t,118,896
post,ˈp o ʊ s t,119,896
himself,h ɪ m ˈs ɛ ɫ f,120,896
middle,ˈm ɪ d ə ɫ,121,896
position,p ə ˈz ɪ ʃ ə n,122,896
course,ˈk ɔ ɹ s,123,896
continued,k ə n ˈt ɪ n j u d,124,896
coming,ˈk ə m ɪ ŋ,125,896
ground,ˈɡ ɹ a ʊ n d,126,896
brought,ˈb ɹ ɔ t,127,896
turned,ˈt ɝ n d,128,896
turn,ˈt ɝ n,129,896
rest,ˈɹ ɛ s t,130,896
remained,"ɹ i ˈm e ɪ n d ,",131,896
break,ˈb ɹ e ɪ k,132,896
practice,"ˈp ɹ æ k t ə s ,",133,896
serve,ˈs ɝ v,134,896
alone,ə ˈɫ o ʊ n,135,896
to,"ˈt u ,",136,830
not,ˈn ɑ t,137,830
they,ˈð e ɪ,138,830
will,"ˈw ɪ ɫ ,",139,830
would,ˈw ʊ d,140,830
if,"ˈɪ f ,",141,830
can,"ˈk æ n ,",142,830
do,ˈd u,143,830
them,"ˈð ɛ m ,",144,830
did,"ˈd ɪ d ,",145,830
any,ˈɛ n i,146,830
make,ˈm e ɪ k,147,830
should,ˈʃ ʊ d,148,830
take,ˈt e ɪ k,149,830
go,ˈɡ o ʊ,150,830
see,ˈs i,151,830
does,"ˈd ə z ,",152,830
want,"ˈw ɑ n t ,",153,830
come,ˈk ə m,154,830
must,ˈm ə s t,155,830
give,ˈɡ ɪ v,156,830
continue,k ə n ˈt ɪ n j u,157,830
able,ˈe ɪ b ə ɫ,158,830
hold,ˈh o ʊ ɫ d,159,830
let,ˈɫ ɛ t,160,830
bring,ˈb ɹ ɪ ŋ,161,830
cannot,"ˈk æ n ɑ t ,",162,830
ready,ˈɹ ɛ d i,163,830
expect,ɪ k ˈs p ɛ k t,164,830
ask,ˈæ s k,165,830
was,"ˈw ɑ z ,",166,10
by,ˈb a ɪ,167,10
be,"ˈb i ,",168,10
were,ˈw ɝ,169,10
been,"ˈb ɪ n ,",170,10
being,ˈb i ɪ ŋ,171,10
said,ˈs ɛ d,172,969
spokesman,ˈs p o ʊ k s m ə n,173,969
spokeswoman,ˈs p o ʊ k ˌs w ʊ m ə n,174,969
at,ˈæ t,175,970
where,"ˈh w ɛ ɹ ,",176,970
near,ˈn ɪ ɹ,177,970
outside,ˈa ʊ t ˈs a ɪ d,178,970
nearby,ˈn ɪ ɹ ˈb a ɪ,179,970
b,ˈb i,180,215
x,ˈɛ k s,181,215
c,ˈs i,182,215
d,ˈd i,183,215
m,ˈɛ m,184,215
t,ˈt i,185,215
v,ˈv i,186,215
g,ˈd ʒ i,187,215
p,ˈp i,188,215
q,ˈk j u,189,215
n,ˈɛ n,190,215
f,ˈɛ f,191,215
k,ˈk e ɪ,192,215
o,ˈo ʊ,193,215
l,ˈɛ ɫ,194,215
w,ˈd ə b ə ɫ j u,195,215
h,ˈe ɪ t ʃ,196,215
u,ˈj u,197,215
ni,ˈn i,198,215
j,ˈd ʒ e ɪ,199,215
pa,ˈp ɑ,200,215
amp,ˈæ m p,201,215
z,ˈz i,202,215
has,"ˈh æ z ,",203,780
have,ˈh æ v,204,780
who,ˈh u,205,780
had,ˈh æ d,206,780
already,"ɔ ˈɹ ɛ d i ,",207,780
having,ˈh æ v ɪ ŋ,208,780
recently,"ˈɹ i s ə n ɫ i ,",209,780
previously,ˈp ɹ i v i ə s ɫ i,210,780
twice,ˈt w a ɪ s,211,780
initially,ˌɪ ˈn ɪ ʃ ə ɫ i,212,780
admitted,ə d ˈm ɪ t ɪ d,213,780
acknowledged,æ k ˈn ɑ ɫ ɪ d ʒ d,214,780
reportedly,"ɹ i ˈp ɔ ɹ t ə d ɫ i ,",215,780
repeatedly,ɹ ɪ ˈp i t ɪ d ɫ i,216,780
tested,ˈt ɛ s t ɪ d,217,780
are,"ˈɑ ɹ ,",218,768
other,ˈə ð ɝ,219,768
some,ˈs ə m,220,768
many,ˈm ɛ n i,221,768
such,ˈs ə t ʃ,222,768
including,ˌɪ n ˈk ɫ u d ɪ ŋ,223,768
those,ˈð o ʊ z,224,768
these,ˈð i z,225,768
several,"ˈs ɛ v ɝ ə ɫ ,",226,768
number,ˈn ə m b ɝ,227,768
among,ə ˈm ə ŋ,228,768
few,ˈf j u,229,768
others,ˈə ð ɝ z,230,768
different,"ˈd ɪ f ɝ ə n t ,",231,768
similar,ˈs ɪ m ə ɫ ɝ,232,768
various,ˈv ɛ ɹ i ə s,233,768
certain,ˈs ɝ t ə n,234,768
ones,ˈw ə n z,235,768
numerous,ˈn u m ɝ ə s,236,768
kinds,"ˈk a ɪ n d z ,",237,768
i,ˈa ɪ,238,665
you,ˈj u,239,665
my,ˈm a ɪ,240,665
going,"ˈɡ o ʊ ɪ n ,",241,665
me,ˈm i,242,665
know,ˈn o ʊ,243,665
your,"ˈj ɔ ɹ ,",244,665
guy,ˈɡ a ɪ,245,665
maybe,ˈm e ɪ b i,246,665
guys,ˈɡ a ɪ z,247,665
myself,ˌm a ɪ ˈs ɛ ɫ f,248,665
kid,ˈk ɪ d,249,665
ok,ˈo ʊ ˈk e ɪ,250,665
crazy,ˈk ɹ e ɪ z i,251,665
hey,ˈh e ɪ,252,665
yeah,ˈj æ,253,665
after,ˈæ f t ɝ,254,176
when,"ˈh w ɛ n ,",255,176
before,"ˌb i ˈf ɔ ɹ ,",256,176
later,ˈɫ e ɪ t ɝ,257,176
early,ˈɝ ɫ i,258,176
until,ə n ˈt ɪ ɫ,259,176
following,ˈf ɑ ɫ o ʊ ɪ ŋ,260,176
late,ˈɫ e ɪ t,261,176
began,"b i ˈɡ æ n ,",262,176
started,ˈs t ɑ ɹ t ɪ d,263,176
returned,"ɹ i ˈt ɝ n d ,",264,176
followed,ˈf ɑ ɫ o ʊ d,265,176
joined,ˈd ʒ ɔ ɪ n d,266,176
arrived,ɝ ˈa ɪ v d,267,176
broke,ˈb ɹ o ʊ k,268,176
entered,"ˈɛ n ɝ d ,",269,176
shortly,ˈʃ ɔ ɹ t ɫ i,270,176
two,ˈt u,271,557
three,ˈθ ɹ i,272,557
four,ˈf ɔ ɹ,273,557
five,ˈf a ɪ v,274,557
six,ˈs ɪ k s,275,557
seven,ˈs ɛ v ə n,276,557
more,ˈm ɔ ɹ,277,196
people,ˈp i p ə ɫ,278,196
than,"ˈð æ n ,",279,196
least,ˈɫ i s t,280,196
less,ˈɫ ɛ s,281,196
fewer,ˈf j u ɝ,282,196
year,ˈj ɪ ɹ,283,155
last,"ˈɫ æ s ,",284,155
years,"ˈj ɪ ɹ z ,",285,155
during,"ˈd ɝ ɪ ŋ ,",286,155
since,ˈs ɪ n s,287,155
week,ˈw i k,288,155
month,ˈm ə n θ,289,155
days,ˈd e ɪ z,290,155
months,ˈm ə n θ s,291,155
past,ˈp æ s t,292,155
earlier,ˈɝ ɫ i ɝ,293,155
ago,ə ˈɡ o ʊ,294,155
recent,ˈɹ i s ə n t,295,155
weeks,ˈw i k s,296,155
period,ˈp ɪ ɹ i ə d,297,155
nearly,ˈn ɪ ɹ ɫ i,298,155
previous,ˈp ɹ i v i ə s,299,155
ended,"ˈɛ n d ə d ,",300,155
decades,"ˈd ɛ k e ɪ d z ,",301,155
decade,"ˈd ɛ k e ɪ d ,",302,155
ending,ˈɛ n d ɪ ŋ,303,155
lasted,"ˈɫ æ s t ə d ,",304,155
ah,ˈɑ,305,561
oh,ˈo ʊ,306,561
ee,ˈi,307,561
uh,ˈə,308,561
hah,ˈh ɑ,309,561
dee,ˈd i,310,561
kah,ˈk ɑ,311,561
bah,ˈb ɑ,312,561
mah,ˈm ɑ,313,561
yah,ˈj ɑ,314,561
moo,ˈm u,315,561
koh,ˈk o ʊ,316,561
nah,ˈn ɑ,317,561
ree,ˈɹ i,318,561
mee,ˈm i,319,561
rah,ˈɹ ɑ,320,561
boo,ˈb u,321,561
she,ˈʃ i,322,606
her,"ˈh ɝ ,",323,606
wife,ˈw a ɪ f,324,606
woman,ˈw ʊ m ə n,325,606
mother,ˈm ə ð ɝ,326,606
daughter,ˈd ɔ t ɝ,327,606
husband,ˈh ə z b ə n d,328,606
girl,ˈɡ ɝ ɫ,329,606
sister,ˈs ɪ s t ɝ,330,606
herself,h ɝ ˈs ɛ ɫ f,331,606
girlfriend,ˈɡ ɝ ɫ ˌf ɹ ɛ n d,332,606
percent,p ɝ ˈs ɛ n t,333,75
total,ˈt o ʊ t ə ɫ,334,75
per,ˈp ɝ,335,75
average,"ˈæ v ɝ ɪ d ʒ ,",336,75
compared,k ə m ˈp ɛ ɹ d,337,75
volume,ˈv ɑ ɫ j u m,338,75
percentage,"p ɝ ˈs ɛ n ə d ʒ ,",339,75
respectively,ɹ ɪ ˈs p ɛ k t ɪ v ɫ i,340,75
gross,ˈɡ ɹ o ʊ s,341,75
margin,ˈm ɑ ɹ d ʒ ə n,342,75
turnover,ˈt ɝ ˌn o ʊ v ɝ,343,75
gdp,ˈɡ i ˈd i ˈp i,344,75
cent,ˈs ɛ n t,345,75
surplus,ˈs ɝ p ɫ ə s,346,75
thirds,ˈθ ɝ d z,347,75
versus,"ˈv ɝ s ə s ,",348,75
doubled,ˈd ə b ə ɫ d,349,75
ratio,ˈɹ e ɪ ʃ i ˌo ʊ,350,75
valued,ˈv æ ɫ j u d,351,75
capita,ˈk æ p ɪ t ə,352,75
adjusted,ə ˈd ʒ ə s t ɪ d,353,75
accounted,"ə ˈk a ʊ n ə d ,",354,75
gallon,ˈɡ æ ɫ ə n,355,75
averaged,"ˈæ v ɹ ə d ʒ d ,",356,75
excluding,ɪ k ˈs k ɫ u d ɪ ŋ,357,75
totaled,ˈt o ʊ t ə ɫ d,358,75
exceed,ɪ k ˈs i d,359,75
proportion,p ɹ ə ˈp ɔ ɹ ʃ ə n,360,75
amounted,"ə ˈm a ʊ n ɪ d ,",361,75
calculated,ˈk æ ɫ k j ə ˌɫ e ɪ t ɪ d,362,75
exceeded,"ɪ k ˈs i d ə d ,",363,75
minus,ˈm a ɪ n ə s,364,75
smallest,ˈs m ɔ ɫ ə s t,365,75
averaging,ˈæ v ɹ ɪ d ʒ ɪ ŋ,366,75
fraction,ˈf ɹ æ k ʃ ə n,367,75
totaling,ˈt o ʊ t ə ɫ ɪ ŋ,368,75
government,"ˈɡ ə v ɝ m ə n t ,",369,612
political,"p ə ˈɫ ɪ t ə k ə ɫ ,",370,612
leader,ˈɫ i d ɝ,371,612
leaders,ˈɫ i d ɝ z,372,612
groups,ˈɡ ɹ u p s,373,612
civil,ˈs ɪ v ə ɫ,374,612
meanwhile,ˈm i n ˌw a ɪ ɫ,375,612
rule,ˈɹ u ɫ,376,612
leadership,ˈɫ i d ɝ ˌʃ ɪ p,377,612
independence,ˌɪ n d ɪ ˈp ɛ n d ə n s,378,612
alliance,ə ˈɫ a ɪ ə n s,379,612
citizens,"ˈs ɪ t ə z ə n z ,",380,612
headed,"ˈh ɛ d ə d ,",381,612
defence,d ɪ ˈf ɛ n s,382,612
politicians,ˌp ɑ ɫ ə ˈt ɪ ʃ ə n z,383,612
revolution,ˌɹ ɛ v ə ˈɫ u ʃ ə n,384,612
resistance,"ɹ i ˈz ɪ s t ə n s ,",385,612
liberation,ˌɫ ɪ ˌb ɝ ˈe ɪ ʃ ə n,386,612
occupation,ˌɑ k j ə ˈp e ɪ ʃ ə n,387,612
behalf,b ɪ ˈh æ f,388,612
veterans,"ˈv ɛ t ɝ ə n z ,",389,612
revolutionary,ˌɹ ɛ v ə ˈɫ u ʃ ə ˌn ɛ ɹ i,390,612
presidents,"ˈp ɹ ɛ z ə ˌd ɛ n t s ,",391,612
citizen,"ˈs ɪ t ə z ə n ,",392,612
homeland,ˈh o ʊ m ˌɫ æ n d,393,612
bloc,ˈb ɫ ɑ k,394,612
exile,"ˈɛ ɡ ˌz a ɪ ɫ ,",395,612
followers,ˈf ɑ ɫ o ʊ ɝ z,396,612
boycott,ˈb ɔ ɪ ˌk ɑ t,397,612
mandela,ˌm æ n ˈd ɛ ɫ ə,398,612
solidarity,ˌs ɑ ɫ ə ˈd ɛ ɹ ə t i,399,612
sworn,ˈs w ɔ ɹ n,400,612
generals,"ˈd ʒ ɛ n ɝ ə ɫ z ,",401,612
filipino,ˌf ɪ ɫ ə ˈp i n o ʊ,402,612
ministries,ˈm ɪ n ɪ s t ɹ i z,403,612
apartheid,"ə ˈp ɑ ɹ ˌt a ɪ d ,",404,612
patriotic,ˌp e ɪ t ɹ i ˈɑ t ɪ k,405,612
exiled,"ˈɛ ɡ ˌz a ɪ ɫ d ,",406,612
facto,ˈf æ k t o ʊ,407,612
brotherhood,ˈb ɹ ə ð ɝ ˌh ʊ d,408,612
outlawed,ˈa ʊ t ˌɫ ɔ d,409,612
million,ˈm ɪ ɫ j ə n,410,714
billion,ˈb ɪ ɫ j ə n,411,714
dollars,"ˈd ɑ ɫ ɝ z ,",412,714
worth,ˈw ɝ θ,413,714
euros,"ˈj u ˌɹ o ʊ z ,",414,714
trillion,ˈt ɹ ɪ ɫ j ə n,415,714
francs,ˈf ɹ æ ŋ k s,416,714
rupees,"ˈɹ u p i z ,",417,714
president,"ˈp ɹ ɛ z ə ˌd ɛ n t ,",418,588
chief,ˈt ʃ i f,419,588
executive,ɪ ɡ ˈz ɛ k j ə t ɪ v,420,588
chairman,ˈt ʃ ɛ ɹ m ə n,421,588
vice,ˈv a ɪ s,422,588
ceo,ˈs i ˌi ˈo ʊ,423,588
state,ˈs t e ɪ t,424,44
texas,ˈt ɛ k s ə s,425,44
florida,"ˈf ɫ ɑ ɹ ə d ə ,",426,44
georgia,ˈd ʒ ɔ ɹ d ʒ ə,427,44
virginia,v ɝ ˈd ʒ ɪ n j ə,428,44
jersey,ˈd ʒ ɝ z i,429,44
carolina,ˌk ɛ ɹ ə ˈɫ a ɪ n ə,430,44
pennsylvania,ˌp ɛ n s ə ɫ ˈv e ɪ n j ə,431,44
ohio,o ʊ ˈh a ɪ o ʊ,432,44
massachusetts,ˌm æ s ə ˈt ʃ u s ə t s,433,44
arizona,ˌɛ ɹ ɪ ˈz o ʊ n ə,434,44
michigan,ˈm ɪ ʃ ɪ ɡ ə n,435,44
kansas,ˈk æ n z ə s,436,44
colorado,"ˌk ɑ ɫ ɝ ˈæ d o ʊ ,",437,44
minnesota,ˌm ɪ n ɪ ˈs o ʊ t ə,438,44
illinois,"ˌɪ ɫ ə ˈn ɔ ɪ ,",439,44
iowa,"ˈa ɪ ə w ə ,",440,44
tennessee,ˌt ɛ n ə ˈs i,441,44
oklahoma,ˌo ʊ k ɫ ə ˈh o ʊ m ə,442,44
maryland,ˈm ɛ ɹ ə ɫ ə n d,443,44
indiana,ˌɪ n d i ˈæ n ə,444,44
missouri,"m ə ˈz ɝ ə ,",445,44
louisiana,ɫ u ˌi z i ˈæ n ə,446,44
oregon,"ˈɔ ɹ ə ˌɡ ɑ n ,",447,44
kentucky,k ə n ˈt ə k i,448,44
mississippi,ˌm ɪ s ɪ ˈs ɪ p i,449,44
utah,ˈj u ˌt ɔ,450,44
alabama,ˌæ ɫ ə ˈb æ m ə,451,44
wisconsin,w ɪ ˈs k ɑ n s ə n,452,44
alaska,ə ˈɫ æ s k ə,453,44
arkansas,ˈɑ ɹ k ə n ˌs ɑ,454,44
maine,ˈm e ɪ n,455,44
hawaii,h ə ˈw a ɪ ˌi,456,44
nevada,"n ə ˈv æ d ə ,",457,44
nebraska,n ə ˈb ɹ æ s k ə,458,44
montana,m ɑ n ˈt æ n ə,459,44
dakota,d ə ˈk o ʊ t ə,460,44
vermont,v ɝ ˈm ɑ n t,461,44
delaware,ˈd ɛ ɫ ə ˌw ɛ ɹ,462,44
midwest,ˌm ɪ d ˈw ɛ s t,463,44
idaho,ˈa ɪ d ə ˌh o ʊ,464,44
rhode,ˈɹ o ʊ d,465,44
wyoming,ˌw a ɪ ˈo ʊ m ɪ ŋ,466,44
could,ˈk ʊ d,467,350
may,ˈm e ɪ,468,350
whether,"ˈh w ɛ ð ɝ ,",469,350
